[2025-11-19T06:55:38.760+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-19T06:56:21.836+0000] {subprocess.py:93} INFO - Added amber-202001-0083
[2025-11-19T06:56:21.836+0000] {subprocess.py:93} INFO - Added amber-202001-0084
[2025-11-19T06:56:21.837+0000] {subprocess.py:93} INFO - Added amber-202001-0088
[2025-11-19T06:56:21.837+0000] {subprocess.py:93} INFO - Added amber-202001-0094
[2025-11-19T06:56:21.837+0000] {subprocess.py:93} INFO - Added amber-202001-0108
[2025-11-19T06:56:21.837+0000] {subprocess.py:93} INFO - Added amber-202001-0111
[2025-11-19T06:56:21.838+0000] {subprocess.py:93} INFO - Added amber-202001-0085
[2025-11-19T06:56:21.838+0000] {subprocess.py:93} INFO - Added amber-202001-0086
[2025-11-19T06:56:21.838+0000] {subprocess.py:93} INFO - Added amber-202001-0089
[2025-11-19T06:56:21.838+0000] {subprocess.py:93} INFO - Added amber-202001-0139
[2025-11-19T06:56:21.839+0000] {subprocess.py:93} INFO - Added amber-202001-0140
[2025-11-19T06:56:21.839+0000] {subprocess.py:93} INFO - Added amber-202001-0087
[2025-11-19T06:56:21.840+0000] {subprocess.py:93} INFO - Added amber-202001-0097
[2025-11-19T06:56:21.840+0000] {subprocess.py:93} INFO - Added amber-202001-0090
[2025-11-19T06:56:21.841+0000] {subprocess.py:93} INFO - Added amber-202001-0091
[2025-11-19T06:56:21.841+0000] {subprocess.py:93} INFO - Added amber-202001-0092
[2025-11-19T06:56:21.842+0000] {subprocess.py:93} INFO - Added amber-202001-0093
[2025-11-19T06:56:21.842+0000] {subprocess.py:93} INFO - Added amber-202001-0095
[2025-11-19T06:56:21.843+0000] {subprocess.py:93} INFO - Added amber-202001-0096
[2025-11-19T06:56:21.843+0000] {subprocess.py:93} INFO - Added amber-202001-0099
[2025-11-19T06:56:21.843+0000] {subprocess.py:93} INFO - Added amber-202001-0107
[2025-11-19T06:56:21.844+0000] {subprocess.py:93} INFO - Added amber-202001-0112
[2025-11-19T06:56:21.844+0000] {subprocess.py:93} INFO - Added amber-202001-0100
[2025-11-19T06:56:21.844+0000] {subprocess.py:93} INFO - Added amber-202001-0114
[2025-11-19T06:56:21.844+0000] {subprocess.py:93} INFO - Added amber-202001-0101
[2025-11-19T06:56:21.845+0000] {subprocess.py:93} INFO - Added amber-202001-0102
[2025-11-19T06:56:21.845+0000] {subprocess.py:93} INFO - Added amber-202001-0103
[2025-11-19T06:56:21.845+0000] {subprocess.py:93} INFO - Added amber-202001-0104
[2025-11-19T06:56:21.845+0000] {subprocess.py:93} INFO - Added amber-202001-0105
[2025-11-19T06:56:21.846+0000] {subprocess.py:93} INFO - Added amber-202001-0106
[2025-11-19T06:56:21.846+0000] {subprocess.py:93} INFO - Added amber-202001-0110
[2025-11-19T06:56:21.846+0000] {subprocess.py:93} INFO - Added amber-202001-0124
[2025-11-19T06:56:21.847+0000] {subprocess.py:93} INFO - Added amber-202001-0125
[2025-11-19T06:56:21.847+0000] {subprocess.py:93} INFO - Added amber-202001-0126
[2025-11-19T06:56:21.848+0000] {subprocess.py:93} INFO - Added amber-202001-0113
[2025-11-19T06:56:21.849+0000] {subprocess.py:93} INFO - Added amber-202001-0119
[2025-11-19T06:56:21.849+0000] {subprocess.py:93} INFO - Added amber-202001-0115
[2025-11-19T06:56:21.850+0000] {subprocess.py:93} INFO - Added amber-202001-0116
[2025-11-19T06:56:21.850+0000] {subprocess.py:93} INFO - Added amber-202001-0120
[2025-11-19T06:56:21.851+0000] {subprocess.py:93} INFO - Added amber-202001-0118
[2025-11-19T06:56:21.851+0000] {subprocess.py:93} INFO - Added amber-202001-0121
[2025-11-19T06:56:21.852+0000] {subprocess.py:93} INFO - Added amber-202001-0122
[2025-11-19T06:56:21.852+0000] {subprocess.py:93} INFO - Added amber-202001-0123
[2025-11-19T06:56:21.853+0000] {subprocess.py:93} INFO - Added amber-202001-0143
[2025-11-19T06:56:21.853+0000] {subprocess.py:93} INFO - Added amber-202001-0144
