[2025-11-19T05:57:41.325+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-19T05:57:41.333+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.web_scrape manual__2025-11-14T07:46:05.728030+00:00 [queued]>
[2025-11-19T05:57:41.339+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.web_scrape manual__2025-11-14T07:46:05.728030+00:00 [queued]>
[2025-11-19T05:57:41.340+0000] {taskinstance.py:2865} INFO - Starting attempt 6 of 4
[2025-11-19T05:57:41.364+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): web_scrape> on 2025-11-14 07:46:05.728030+00:00
[2025-11-19T05:57:41.368+0000] {standard_task_runner.py:72} INFO - Started process 132 to run task
[2025-11-19T05:57:41.371+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'AMBER_Daily_Scraping', 'web_scrape', 'manual__2025-11-14T07:46:05.728030+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/AMBER_Daily_Scraping.py', '--cfg-path', '/tmp/tmpf8n9o9cb']
[2025-11-19T05:57:41.373+0000] {standard_task_runner.py:105} INFO - Job 37: Subtask web_scrape
[2025-11-19T05:57:41.420+0000] {task_command.py:467} INFO - Running <TaskInstance: AMBER_Daily_Scraping.web_scrape manual__2025-11-14T07:46:05.728030+00:00 [running]> on host d6d6ebac0da2
[2025-11-19T05:57:41.482+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data' AIRFLOW_CTX_DAG_ID='AMBER_Daily_Scraping' AIRFLOW_CTX_TASK_ID='web_scrape' AIRFLOW_CTX_EXECUTION_DATE='2025-11-14T07:46:05.728030+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-11-14T07:46:05.728030+00:00'
[2025-11-19T05:57:41.483+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-11-19T05:57:41.497+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-11-19T05:57:41.498+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/airflow/dags/scripts && python AMBER_WEB_Scraping.py']
[2025-11-19T05:57:41.505+0000] {subprocess.py:86} INFO - Output:
[2025-11-19T05:58:27.110+0000] {subprocess.py:93} INFO - Added amber-202001-0143
[2025-11-19T05:58:27.111+0000] {subprocess.py:93} INFO - Added amber-202001-0144
[2025-11-19T05:58:27.111+0000] {subprocess.py:93} INFO - Added amber-202001-0154
[2025-11-19T05:58:27.111+0000] {subprocess.py:93} INFO - Added amber-202001-0155
[2025-11-19T05:58:27.112+0000] {subprocess.py:93} INFO - Added amber-202001-0127
[2025-11-19T05:58:27.112+0000] {subprocess.py:93} INFO - Added amber-202001-0128
[2025-11-19T05:58:27.112+0000] {subprocess.py:93} INFO - Added amber-202001-0129
[2025-11-19T05:58:27.113+0000] {subprocess.py:93} INFO - Added amber-202001-0137
[2025-11-19T05:58:27.113+0000] {subprocess.py:93} INFO - Added amber-202001-0138
[2025-11-19T05:58:27.113+0000] {subprocess.py:93} INFO - Added amber-202001-0130
[2025-11-19T05:58:27.114+0000] {subprocess.py:93} INFO - Added amber-202001-0177
[2025-11-19T05:58:27.114+0000] {subprocess.py:93} INFO - Added amber-202001-0131
[2025-11-19T05:58:27.114+0000] {subprocess.py:93} INFO - Added amber-202001-0134
[2025-11-19T05:58:27.115+0000] {subprocess.py:93} INFO - Added amber-202001-0136
[2025-11-19T05:58:27.115+0000] {subprocess.py:93} INFO - Added amber-202001-0146
[2025-11-19T05:58:27.115+0000] {subprocess.py:93} INFO - Added amber-202001-0135
[2025-11-19T05:58:27.116+0000] {subprocess.py:93} INFO - Added amber-202001-0132
[2025-11-19T05:58:27.116+0000] {subprocess.py:93} INFO - Added amber-202001-0142
[2025-11-19T05:58:27.117+0000] {subprocess.py:93} INFO - Added amber-202001-0133
[2025-11-19T05:58:27.117+0000] {subprocess.py:93} INFO - Added amber-202001-0141
[2025-11-19T05:58:27.117+0000] {subprocess.py:93} INFO - Added amber-202001-0145
[2025-11-19T05:58:27.118+0000] {subprocess.py:93} INFO - Added amber-202001-0147
[2025-11-19T05:58:27.118+0000] {subprocess.py:93} INFO - Added amber-202001-0148
[2025-11-19T05:58:27.119+0000] {subprocess.py:93} INFO - Added amber-202001-0150
[2025-11-19T05:58:27.119+0000] {subprocess.py:93} INFO - Added amber-202001-0149
[2025-11-19T05:58:27.119+0000] {subprocess.py:93} INFO - Added amber-202001-0151
[2025-11-19T05:58:27.120+0000] {subprocess.py:93} INFO - Added amber-202001-0152
[2025-11-19T05:58:27.120+0000] {subprocess.py:93} INFO - Added amber-202001-0153
[2025-11-19T05:58:27.121+0000] {subprocess.py:93} INFO - Added amber-202001-0156
[2025-11-19T05:58:27.121+0000] {subprocess.py:93} INFO - Added amber-202001-0157
[2025-11-19T05:58:27.121+0000] {subprocess.py:93} INFO - Added amber-202001-0159
[2025-11-19T05:58:27.122+0000] {subprocess.py:93} INFO - Added amber-202001-0192
[2025-11-19T05:58:27.122+0000] {subprocess.py:93} INFO - Added amber-202001-0193
[2025-11-19T05:58:27.123+0000] {subprocess.py:93} INFO - Added amber-202001-0194
[2025-11-19T05:58:27.123+0000] {subprocess.py:93} INFO - Added amber-202001-0196
[2025-11-19T05:58:27.124+0000] {subprocess.py:93} INFO - Added amber-202001-0200
[2025-11-19T05:58:27.124+0000] {subprocess.py:93} INFO - Added amber-202001-0201
[2025-11-19T05:58:27.125+0000] {subprocess.py:93} INFO - Added amber-202001-0158
[2025-11-19T05:58:27.125+0000] {subprocess.py:93} INFO - Added amber-202001-0160
[2025-11-19T05:58:27.125+0000] {subprocess.py:93} INFO - Added amber-202001-0163
[2025-11-19T05:58:27.126+0000] {subprocess.py:93} INFO - Added amber-202001-0164
[2025-11-19T05:58:27.126+0000] {subprocess.py:93} INFO - Added amber-202001-0165
[2025-11-19T05:58:27.126+0000] {subprocess.py:93} INFO - Added amber-202001-0166
[2025-11-19T05:58:27.127+0000] {subprocess.py:93} INFO - Added amber-202001-0168
[2025-11-19T05:58:27.127+0000] {subprocess.py:93} INFO - Added amber-202001-0174
[2025-11-19T05:58:27.127+0000] {subprocess.py:93} INFO - Added amber-202001-0197
[2025-11-19T05:58:27.127+0000] {subprocess.py:93} INFO - Added amber-202001-0198
[2025-11-19T05:58:27.128+0000] {subprocess.py:93} INFO - Added amber-202001-0199
[2025-11-19T05:58:27.128+0000] {subprocess.py:93} INFO - Added amber-202001-0161
[2025-11-19T05:58:27.129+0000] {subprocess.py:93} INFO - Added amber-202001-0171
[2025-11-19T05:58:27.129+0000] {subprocess.py:93} INFO - Added amber-202001-0162
[2025-11-19T05:58:27.129+0000] {subprocess.py:93} INFO - Added amber-202001-0215
[2025-11-19T05:58:27.130+0000] {subprocess.py:93} INFO - Added amber-202001-0167
[2025-11-19T05:58:27.130+0000] {subprocess.py:93} INFO - Added amber-202001-0169
[2025-11-19T05:58:27.130+0000] {subprocess.py:93} INFO - Added amber-202001-0170
[2025-11-19T05:58:27.130+0000] {subprocess.py:93} INFO - Added amber-202001-0173
[2025-11-19T05:58:27.131+0000] {subprocess.py:93} INFO - Added amber-202001-0175
[2025-11-19T05:58:27.131+0000] {subprocess.py:93} INFO - Added amber-202001-0189
[2025-11-19T05:58:27.132+0000] {subprocess.py:93} INFO - Added amber-202001-0213
[2025-11-19T05:58:27.132+0000] {subprocess.py:93} INFO - Added amber-202001-0221
[2025-11-19T05:58:27.132+0000] {subprocess.py:93} INFO - Added amber-202001-0172
[2025-11-19T05:58:27.133+0000] {subprocess.py:93} INFO - Added amber-202001-0176
[2025-11-19T05:58:27.133+0000] {subprocess.py:93} INFO - Added amber-202001-0178
[2025-11-19T05:58:27.133+0000] {subprocess.py:93} INFO - Added amber-202001-0183
[2025-11-19T05:58:27.134+0000] {subprocess.py:93} INFO - Added amber-202001-0179
[2025-11-19T05:58:27.134+0000] {subprocess.py:93} INFO - Added amber-202001-0184
[2025-11-19T05:58:27.134+0000] {subprocess.py:93} INFO - Added amber-202001-0180
[2025-11-19T05:58:27.135+0000] {subprocess.py:93} INFO - Added amber-202001-0181
[2025-11-19T05:58:27.135+0000] {subprocess.py:93} INFO - Added amber-202001-0182
[2025-11-19T05:58:27.136+0000] {subprocess.py:93} INFO - Added amber-202001-0186
[2025-11-19T05:58:27.136+0000] {subprocess.py:93} INFO - Added amber-202001-0190
[2025-11-19T05:58:27.137+0000] {subprocess.py:93} INFO - Added amber-202001-0228
[2025-11-19T05:58:27.137+0000] {subprocess.py:93} INFO - Added amber-202001-0242
[2025-11-19T05:58:27.137+0000] {subprocess.py:93} INFO - Added amber-202001-0185
