[2025-11-14T06:55:03.299+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T06:55:27.443+0000] {subprocess.py:93} INFO - Added amber-202001-0139
[2025-11-14T06:55:27.444+0000] {subprocess.py:93} INFO - Added amber-202001-0140
[2025-11-14T06:55:27.444+0000] {subprocess.py:93} INFO - Added amber-202001-0087
[2025-11-14T06:55:27.445+0000] {subprocess.py:93} INFO - Added amber-202001-0097
[2025-11-14T06:55:27.445+0000] {subprocess.py:93} INFO - Added amber-202001-0090
[2025-11-14T06:55:27.445+0000] {subprocess.py:93} INFO - Added amber-202001-0091
[2025-11-14T06:55:27.445+0000] {subprocess.py:93} INFO - Added amber-202001-0092
[2025-11-14T06:55:27.445+0000] {subprocess.py:93} INFO - Added amber-202001-0093
[2025-11-14T06:55:27.446+0000] {subprocess.py:93} INFO - Added amber-202001-0095
[2025-11-14T06:55:27.446+0000] {subprocess.py:93} INFO - Added amber-202001-0096
[2025-11-14T06:55:27.446+0000] {subprocess.py:93} INFO - Added amber-202001-0099
[2025-11-14T06:55:27.446+0000] {subprocess.py:93} INFO - Added amber-202001-0107
[2025-11-14T06:55:27.446+0000] {subprocess.py:93} INFO - Added amber-202001-0112
[2025-11-14T06:55:27.447+0000] {subprocess.py:93} INFO - Added amber-202001-0100
[2025-11-14T06:55:27.447+0000] {subprocess.py:93} INFO - Added amber-202001-0114
[2025-11-14T06:55:27.447+0000] {subprocess.py:93} INFO - Added amber-202001-0101
[2025-11-14T06:55:27.447+0000] {subprocess.py:93} INFO - Added amber-202001-0102
[2025-11-14T06:55:27.447+0000] {subprocess.py:93} INFO - Added amber-202001-0103
[2025-11-14T06:55:27.447+0000] {subprocess.py:93} INFO - Added amber-202001-0104
[2025-11-14T06:55:27.448+0000] {subprocess.py:93} INFO - Added amber-202001-0105
[2025-11-14T06:55:27.448+0000] {subprocess.py:93} INFO - Added amber-202001-0106
[2025-11-14T06:55:27.448+0000] {subprocess.py:93} INFO - Added amber-202001-0110
[2025-11-14T06:55:27.448+0000] {subprocess.py:93} INFO - Added amber-202001-0124
[2025-11-14T06:55:27.448+0000] {subprocess.py:93} INFO - Added amber-202001-0125
[2025-11-14T06:55:27.449+0000] {subprocess.py:93} INFO - Added amber-202001-0126
[2025-11-14T06:55:27.449+0000] {subprocess.py:93} INFO - Added amber-202001-0113
[2025-11-14T06:55:27.449+0000] {subprocess.py:93} INFO - Added amber-202001-0119
[2025-11-14T06:55:27.449+0000] {subprocess.py:93} INFO - Added amber-202001-0115
[2025-11-14T06:55:27.450+0000] {subprocess.py:93} INFO - Added amber-202001-0116
[2025-11-14T06:55:27.450+0000] {subprocess.py:93} INFO - Added amber-202001-0120
[2025-11-14T06:55:27.450+0000] {subprocess.py:93} INFO - Added amber-202001-0118
[2025-11-14T06:55:27.451+0000] {subprocess.py:93} INFO - Added amber-202001-0121
[2025-11-14T06:55:27.451+0000] {subprocess.py:93} INFO - Added amber-202001-0122
[2025-11-14T06:55:27.451+0000] {subprocess.py:93} INFO - Added amber-202001-0123
[2025-11-14T06:55:27.452+0000] {subprocess.py:93} INFO - Added amber-202001-0143
[2025-11-14T06:55:27.452+0000] {subprocess.py:93} INFO - Added amber-202001-0144
