[2025-11-14T07:46:29.332+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T07:46:53.389+0000] {subprocess.py:93} INFO - Added amber-202001-0130
[2025-11-14T07:46:53.390+0000] {subprocess.py:93} INFO - Added amber-202001-0177
[2025-11-14T07:46:53.390+0000] {subprocess.py:93} INFO - Added amber-202001-0131
[2025-11-14T07:46:53.391+0000] {subprocess.py:93} INFO - Added amber-202001-0134
[2025-11-14T07:46:53.391+0000] {subprocess.py:93} INFO - Added amber-202001-0136
[2025-11-14T07:46:53.391+0000] {subprocess.py:93} INFO - Added amber-202001-0146
[2025-11-14T07:46:53.392+0000] {subprocess.py:93} INFO - Added amber-202001-0135
[2025-11-14T07:46:53.392+0000] {subprocess.py:93} INFO - Added amber-202001-0132
[2025-11-14T07:46:53.393+0000] {subprocess.py:93} INFO - Added amber-202001-0142
[2025-11-14T07:46:53.393+0000] {subprocess.py:93} INFO - Added amber-202001-0133
[2025-11-14T07:46:53.394+0000] {subprocess.py:93} INFO - Added amber-202001-0141
[2025-11-14T07:46:53.394+0000] {subprocess.py:93} INFO - Added amber-202001-0145
[2025-11-14T07:46:53.395+0000] {subprocess.py:93} INFO - Added amber-202001-0147
[2025-11-14T07:46:53.395+0000] {subprocess.py:93} INFO - Added amber-202001-0148
[2025-11-14T07:46:53.396+0000] {subprocess.py:93} INFO - Added amber-202001-0150
[2025-11-14T07:46:53.396+0000] {subprocess.py:93} INFO - Added amber-202001-0149
[2025-11-14T07:46:53.396+0000] {subprocess.py:93} INFO - Added amber-202001-0151
[2025-11-14T07:46:53.397+0000] {subprocess.py:93} INFO - Added amber-202001-0152
[2025-11-14T07:46:53.397+0000] {subprocess.py:93} INFO - Added amber-202001-0153
[2025-11-14T07:46:53.397+0000] {subprocess.py:93} INFO - Added amber-202001-0156
[2025-11-14T07:46:53.398+0000] {subprocess.py:93} INFO - Added amber-202001-0157
[2025-11-14T07:46:53.398+0000] {subprocess.py:93} INFO - Added amber-202001-0159
