[2025-11-14T05:53:52.815+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T05:54:24.264+0000] {subprocess.py:93} INFO - Added amber-202001-0103
[2025-11-14T05:54:24.264+0000] {subprocess.py:93} INFO - Added amber-202001-0104
[2025-11-14T05:54:24.265+0000] {subprocess.py:93} INFO - Added amber-202001-0105
[2025-11-14T05:54:24.265+0000] {subprocess.py:93} INFO - Added amber-202001-0106
[2025-11-14T05:54:24.266+0000] {subprocess.py:93} INFO - Added amber-202001-0110
[2025-11-14T05:54:24.267+0000] {subprocess.py:93} INFO - Added amber-202001-0124
[2025-11-14T05:54:24.267+0000] {subprocess.py:93} INFO - Added amber-202001-0125
[2025-11-14T05:54:24.268+0000] {subprocess.py:93} INFO - Added amber-202001-0126
[2025-11-14T05:54:24.268+0000] {subprocess.py:93} INFO - Added amber-202001-0113
[2025-11-14T05:54:24.269+0000] {subprocess.py:93} INFO - Added amber-202001-0119
[2025-11-14T05:54:24.270+0000] {subprocess.py:93} INFO - Added amber-202001-0115
[2025-11-14T05:54:24.270+0000] {subprocess.py:93} INFO - Added amber-202001-0116
[2025-11-14T05:54:24.271+0000] {subprocess.py:93} INFO - Added amber-202001-0120
[2025-11-14T05:54:24.271+0000] {subprocess.py:93} INFO - Added amber-202001-0118
[2025-11-14T05:54:24.272+0000] {subprocess.py:93} INFO - Added amber-202001-0121
[2025-11-14T05:54:24.273+0000] {subprocess.py:93} INFO - Added amber-202001-0122
[2025-11-14T05:54:24.273+0000] {subprocess.py:93} INFO - Added amber-202001-0123
[2025-11-14T05:54:24.274+0000] {subprocess.py:93} INFO - Added amber-202001-0143
[2025-11-14T05:54:24.274+0000] {subprocess.py:93} INFO - Added amber-202001-0144
[2025-11-14T05:54:24.275+0000] {subprocess.py:93} INFO - Added amber-202001-0154
[2025-11-14T05:54:24.276+0000] {subprocess.py:93} INFO - Added amber-202001-0155
[2025-11-14T05:54:24.276+0000] {subprocess.py:93} INFO - Added amber-202001-0127
[2025-11-14T05:54:24.277+0000] {subprocess.py:93} INFO - Added amber-202001-0128
[2025-11-14T05:54:24.277+0000] {subprocess.py:93} INFO - Added amber-202001-0129
[2025-11-14T05:54:24.278+0000] {subprocess.py:93} INFO - Added amber-202001-0137
[2025-11-14T05:54:24.278+0000] {subprocess.py:93} INFO - Added amber-202001-0138
[2025-11-14T05:54:24.279+0000] {subprocess.py:93} INFO - Added amber-202001-0130
[2025-11-14T05:54:24.279+0000] {subprocess.py:93} INFO - Added amber-202001-0177
[2025-11-14T05:54:24.280+0000] {subprocess.py:93} INFO - Added amber-202001-0131
[2025-11-14T05:54:24.280+0000] {subprocess.py:93} INFO - Added amber-202001-0134
[2025-11-14T05:54:24.281+0000] {subprocess.py:93} INFO - Added amber-202001-0136
[2025-11-14T05:54:24.281+0000] {subprocess.py:93} INFO - Added amber-202001-0146
