[2025-11-13T06:09:34.329+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-13T06:10:06.471+0000] {subprocess.py:93} INFO - Added amber-202001-0072
[2025-11-13T06:10:06.472+0000] {subprocess.py:93} INFO - Added amber-202001-0098
[2025-11-13T06:10:06.472+0000] {subprocess.py:93} INFO - Added amber-202001-0117
[2025-11-13T06:10:06.472+0000] {subprocess.py:93} INFO - Added amber-202001-0068
[2025-11-13T06:10:06.473+0000] {subprocess.py:93} INFO - Added amber-202001-0071
[2025-11-13T06:10:06.473+0000] {subprocess.py:93} INFO - Added amber-202001-0076
[2025-11-13T06:10:06.473+0000] {subprocess.py:93} INFO - Added amber-202001-0077
[2025-11-13T06:10:06.473+0000] {subprocess.py:93} INFO - Added amber-202001-0078
[2025-11-13T06:10:06.473+0000] {subprocess.py:93} INFO - Added amber-202001-0082
[2025-11-13T06:10:06.474+0000] {subprocess.py:93} INFO - Added amber-202001-0081
[2025-11-13T06:10:06.474+0000] {subprocess.py:93} INFO - Added amber-202001-0083
[2025-11-13T06:10:06.474+0000] {subprocess.py:93} INFO - Added amber-202001-0084
[2025-11-13T06:10:06.474+0000] {subprocess.py:93} INFO - Added amber-202001-0088
[2025-11-13T06:10:06.474+0000] {subprocess.py:93} INFO - Added amber-202001-0094
[2025-11-13T06:10:06.475+0000] {subprocess.py:93} INFO - Added amber-202001-0108
[2025-11-13T06:10:06.475+0000] {subprocess.py:93} INFO - Added amber-202001-0111
[2025-11-13T06:10:06.475+0000] {subprocess.py:93} INFO - Added amber-202001-0085
[2025-11-13T06:10:06.475+0000] {subprocess.py:93} INFO - Added amber-202001-0086
[2025-11-13T06:10:06.476+0000] {subprocess.py:93} INFO - Added amber-202001-0089
[2025-11-13T06:10:06.476+0000] {subprocess.py:93} INFO - Added amber-202001-0139
[2025-11-13T06:10:06.476+0000] {subprocess.py:93} INFO - Added amber-202001-0140
[2025-11-13T06:10:06.477+0000] {subprocess.py:93} INFO - Added amber-202001-0087
[2025-11-13T06:10:06.477+0000] {subprocess.py:93} INFO - Added amber-202001-0097
[2025-11-13T06:10:06.478+0000] {subprocess.py:93} INFO - Added amber-202001-0090
[2025-11-13T06:10:06.478+0000] {subprocess.py:93} INFO - Added amber-202001-0091
[2025-11-13T06:10:06.479+0000] {subprocess.py:93} INFO - Added amber-202001-0092
[2025-11-13T06:10:06.480+0000] {subprocess.py:93} INFO - Added amber-202001-0093
[2025-11-13T06:10:06.480+0000] {subprocess.py:93} INFO - Added amber-202001-0095
[2025-11-13T06:10:06.480+0000] {subprocess.py:93} INFO - Added amber-202001-0096
[2025-11-13T06:10:06.480+0000] {subprocess.py:93} INFO - Added amber-202001-0099
[2025-11-13T06:10:06.481+0000] {subprocess.py:93} INFO - Added amber-202001-0107
[2025-11-13T06:10:06.481+0000] {subprocess.py:93} INFO - Added amber-202001-0112
[2025-11-13T06:10:06.482+0000] {subprocess.py:93} INFO - Added amber-202001-0100
[2025-11-13T06:10:06.482+0000] {subprocess.py:93} INFO - Added amber-202001-0114
[2025-11-13T06:10:06.483+0000] {subprocess.py:93} INFO - Added amber-202001-0101
[2025-11-13T06:10:06.483+0000] {subprocess.py:93} INFO - Added amber-202001-0102
[2025-11-13T06:10:06.484+0000] {subprocess.py:93} INFO - Added amber-202001-0103
[2025-11-13T06:10:06.484+0000] {subprocess.py:93} INFO - Added amber-202001-0104
[2025-11-13T06:10:06.485+0000] {subprocess.py:93} INFO - Added amber-202001-0105
[2025-11-13T06:10:06.485+0000] {subprocess.py:93} INFO - Added amber-202001-0106
[2025-11-13T06:10:06.485+0000] {subprocess.py:93} INFO - Added amber-202001-0110
[2025-11-13T06:10:06.486+0000] {subprocess.py:93} INFO - Added amber-202001-0124
[2025-11-13T06:10:06.486+0000] {subprocess.py:93} INFO - Added amber-202001-0125
[2025-11-13T06:10:06.487+0000] {subprocess.py:93} INFO - Added amber-202001-0126
[2025-11-13T06:10:06.487+0000] {subprocess.py:93} INFO - Added amber-202001-0113
[2025-11-13T06:10:06.488+0000] {subprocess.py:93} INFO - Added amber-202001-0119
[2025-11-13T06:10:06.488+0000] {subprocess.py:93} INFO - Added amber-202001-0115
[2025-11-13T06:10:06.488+0000] {subprocess.py:93} INFO - Added amber-202001-0116
[2025-11-13T06:10:06.489+0000] {subprocess.py:93} INFO - Added amber-202001-0120
[2025-11-13T06:10:06.489+0000] {subprocess.py:93} INFO - Added amber-202001-0118
[2025-11-13T06:10:06.490+0000] {subprocess.py:93} INFO - Added amber-202001-0121
[2025-11-13T06:10:06.490+0000] {subprocess.py:93} INFO - Added amber-202001-0122
[2025-11-13T06:10:06.491+0000] {subprocess.py:93} INFO - Added amber-202001-0123
[2025-11-13T06:10:06.491+0000] {subprocess.py:93} INFO - Added amber-202001-0143
[2025-11-13T06:10:06.491+0000] {subprocess.py:93} INFO - Added amber-202001-0144
